id,target
104999,0.023352632381253315
105000,0.012636892894372002
105001,0.023798465425438675
105002,0.2669524453079635
105003,0.1692330809063768
105004,0.0063347158099756025
105005,0.010238709204244268
105006,0.0052398891035620645
105007,0.15730366775295854
105008,0.2517067583707518
105009,0.021294565769729528
105010,0.012541305971734544
105011,0.06919611892336658
105012,0.01956244129083302
105013,0.31167227286122146
105014,0.1298569829269108
105015,0.05795535823143256
105016,0.013331771203995988
105017,0.017270168242864578
105018,0.07790879068573646
105019,0.2408221415115385
105020,0.03541731814492513
105021,0.04611864213565142
105022,0.02295420259301039
105023,0.011418128832124286
105024,0.01064006073178035
105025,0.00494030704761081
105026,0.013885346930411047
105027,0.013283412868544276
105028,0.031971442665031755
105029,0.12350588138780466
105030,0.2822112231264642
105031,0.0032707469163551226
105032,0.38904500991157
105033,0.01399920414252326
105034,0.04870836174776401
105035,0.016462316887041514
105036,0.014595252000614161
105037,0.006338941934368262
105038,0.06832415159763168
105039,0.004838581927331045
105040,0.032251126586588935
105041,0.09240140549435526
105042,0.21132915212865233
105043,0.282620355890255
105044,0.16143828518778663
105045,0.014897854496100286
105046,0.018600029209273467
105047,0.11763004604426902
105048,0.09451654353886822
105049,0.02776168897504605
105050,0.573351339827671
105051,0.010952295882547371
105052,0.009786551627658152
105053,0.00861355375925791
105054,0.06254390867405836
105055,0.007357219772632904
105056,0.49239815333180526
105057,0.006326754290101736
105058,0.024621936049090153
105059,0.015255771812481373
105060,0.007321680442378227
105061,0.013755308432522446
105062,0.03217870927904207
105063,0.009933601466287481
105064,0.05263835085848009
105065,0.004637587803484988
105066,0.008550491473063441
105067,0.010006846509363435
105068,0.2429373697947175
105069,0.08068033474474513
105070,0.025586547971163883
105071,0.06508505387497754
105072,0.028741477177687057
105073,0.08207007498306387
105074,0.011374688223787387
105075,0.4801470543381962
105076,0.12893731582215504
105077,0.007003880288586144
105078,0.031936748251000666
105079,0.14037625598020573
105080,0.0032143049413997054
105081,0.11803145520954991
105082,0.2314473852859412
